zone	zone_name	target_name	target_identity	tx	tz	ty	edge_id	from_zone	from_zone_name	sx	sz	sy	mission_step_ids	status	waypoints	start_snap	end_snap	start_valid	end_valid
2	Carpenters' Landing	???	object:v1:2:16785729	145.500	-699.000	-9.000	947335802	104	Jugner Forest	6.509	-819.333	-9.163	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-connected	25	2.709	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785729	145.500	-699.000	-9.000	1635201658	104	Jugner Forest	-419.796	-554.553	-8.943	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-no-path	1	583.459	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785729	145.500	-699.000	-9.000	1634088570	231	Northern San d'Oria	-479.621	665.350	-8.141	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-no-path	1	1500.742	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785730	-286.000	-78.750	-8.000	947335802	104	Jugner Forest	6.509	-819.333	-9.163	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-no-path	1	796.258	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785730	-286.000	-78.750	-8.000	1635201658	104	Jugner Forest	-419.796	-554.553	-8.943	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-connected	52	2.851	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785730	-286.000	-78.750	-8.000	1634088570	231	Northern San d'Oria	-479.621	665.350	-8.141	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-no-path	1	768.878	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785731	-263.000	-121.500	-8.000	947335802	104	Jugner Forest	6.509	-819.333	-9.163	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-no-path	1	748.069	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785731	-263.000	-121.500	-8.000	1635201658	104	Jugner Forest	-419.796	-554.553	-8.943	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-connected	55	2.851	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785731	-263.000	-121.500	-8.000	1634088570	231	Northern San d'Oria	-479.621	665.350	-8.141	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-no-path	1	816.123	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785732	-238.000	-95.000	-8.000	947335802	104	Jugner Forest	6.509	-819.333	-9.163	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-no-path	1	764.490	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785732	-238.000	-95.000	-8.000	1635201658	104	Jugner Forest	-419.796	-554.553	-8.943	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-connected	55	2.851	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785732	-238.000	-95.000	-8.000	1634088570	231	Northern San d'Oria	-479.621	665.350	-8.141	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-no-path	1	797.818	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785733	94.000	-597.500	-8.000	947335802	104	Jugner Forest	6.509	-819.333	-9.163	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-connected	30	2.709	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785733	94.000	-597.500	-8.000	1635201658	104	Jugner Forest	-419.796	-554.553	-8.943	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-no-path	1	515.589	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785733	94.000	-597.500	-8.000	1634088570	231	Northern San d'Oria	-479.621	665.350	-8.141	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-no-path	1	1387.022	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785734	62.000	-565.250	-8.000	947335802	104	Jugner Forest	6.509	-819.333	-9.163	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-connected	33	2.709	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785734	62.000	-565.250	-8.000	1635201658	104	Jugner Forest	-419.796	-554.553	-8.943	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-no-path	1	481.916	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785734	62.000	-565.250	-8.000	1634088570	231	Northern San d'Oria	-479.621	665.350	-8.141	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-no-path	1	1344.518	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785735	117.500	-565.750	-8.000	947335802	104	Jugner Forest	6.509	-819.333	-9.163	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-connected	33	2.709	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785735	117.500	-565.750	-8.000	1635201658	104	Jugner Forest	-419.796	-554.553	-8.943	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-no-path	1	537.414	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785735	117.500	-565.750	-8.000	1634088570	231	Northern San d'Oria	-479.621	665.350	-8.141	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-no-path	1	1368.269	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785752	120.615	-390.133	-5.457	947335802	104	Jugner Forest	6.509	-819.333	-9.163	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-connected	39	2.709	0.000	1	1
2	Carpenters' Landing	???	object:v1:2:16785752	120.615	-390.133	-5.457	1635201658	104	Jugner Forest	-419.796	-554.553	-8.943	mission:Bastok:17:step-016,mission:San d'Oria:19:step-014	mesh-no-path	1	564.881	0.000	1	1
