survey_id	zone	node_id	sequence	x	z	y	event	label	neighbors	source	confidence
20260712-170700-z102	102	1	1	-559.850	677.532	0.000	start	start	2	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2	2	-561.033	675.675	0.015	point		1,3	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	3	3	-562.221	673.983	0.100	point		2,4	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	4	4	-564.151	671.898	0.115	point		3,5	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	5	5	-565.507	670.711	-0.246	point		4,6	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	6	6	-567.667	668.910	-0.836	point		5,7	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	7	7	-569.394	667.441	-1.528	point		6,8	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	8	8	-571.610	665.335	-2.309	point		7,9	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	9	9	-573.073	663.910	-2.786	point		8,10	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	10	10	-575.277	661.856	-3.669	point		9,11	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	11	11	-575.766	660.518	-3.840	point		10,12	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	12	12	-575.137	658.325	-2.988	point		11,13	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	13	13	-576.007	659.404	-3.687	point		12,14	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	14	14	-575.731	659.836	-3.764	mark	field manual	13,15	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	15	15	-574.743	658.751	-2.860	point		14,16	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	16	16	-573.366	656.560	-1.652	point		15,17	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	17	17	-572.146	654.591	-0.961	point		16,18	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	18	18	-570.384	652.096	-0.759	point		17,19	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	19	19	-569.193	650.619	-0.377	point		18,20	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	20	20	-567.207	648.242	-0.145	point		19,21	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	21	21	-565.897	646.685	0.135	point		20,22	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	22	22	-563.914	644.329	0.010	point		21,23	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	23	23	-562.348	642.470	0.000	point		22,24	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	24	24	-560.515	640.291	0.000	point		23,25	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	25	25	-560.382	640.134	0.000	mark	cavernous maw	24,26	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	26	26	-561.358	638.775	0.000	point		25,27	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	27	27	-563.082	638.059	0.000	point		26,28	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	28	28	-564.939	637.365	0.046	point		27,29	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	29	29	-567.748	636.073	0.157	point		28,30	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	30	30	-569.584	635.154	-0.017	point		29,31	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	31	31	-572.334	633.742	-0.327	point		30,32	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	32	32	-574.896	632.421	-0.775	point		31,33	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	33	33	-577.041	631.313	-1.294	point		32,34	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	34	34	-579.776	629.901	-1.731	point		33,35	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	35	35	-581.584	628.967	-1.747	point		34,36	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	36	36	-584.090	627.458	-1.627	point		35,37	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	37	37	-585.166	626.009	-1.633	point		36,38	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	38	38	-586.435	623.340	-1.746	point		37,39	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	39	39	-587.292	621.242	-1.587	point		38,40	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	40	40	-588.388	618.502	-1.645	point		39,41	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	41	41	-589.147	616.600	-1.832	point		40,42	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	42	42	-590.280	613.754	-1.551	point		41,43	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	43	43	-591.040	611.846	-1.477	point		42,44	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	44	44	-592.140	609.083	-1.060	point		43,45	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	45	45	-593.048	606.803	-0.823	point		44,46	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	46	46	-594.185	603.949	-0.750	point		45,47	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	47	47	-594.928	602.084	-0.460	point		46,48	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	48	48	-596.060	599.240	-0.039	point		47,49	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	49	49	-596.820	597.331	0.000	point		48,50	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	50	50	-597.959	594.472	0.075	point		49,51	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	51	51	-598.851	592.231	0.187	point		50,52	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	52	52	-599.674	590.166	0.291	point		51,53	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	53	53	-600.815	587.299	0.413	point		52,54	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	54	54	-601.574	585.392	0.525	point		53,55	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	55	55	-602.711	582.532	0.349	point		54,56	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	56	56	-603.667	579.788	0.279	point		55,57	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	57	57	-604.226	577.446	0.078	point		56,58	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	58	58	-604.606	574.371	-0.110	point		57,59	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	59	59	-604.526	572.326	-0.316	point		58,60	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	60	60	-604.176	569.249	-0.535	point		59,61	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	61	61	-603.906	567.209	-0.508	point		60,62	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	62	62	-603.435	564.178	-0.202	point		61,63	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	63	63	-602.841	561.680	-0.112	point		62,64	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	64	64	-602.233	559.536	-0.036	point		63,65	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	65	65	-601.366	556.560	0.000	point		64,66	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	66	66	-600.736	554.419	0.030	point		65,67	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	67	67	-599.842	551.468	0.226	point		66,68	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	68	68	-599.146	549.532	0.322	point		67,69	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	69	69	-597.990	546.895	0.506	point		68,70	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	70	70	-597.130	545.044	0.691	point		69,71	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	71	71	-595.818	542.241	0.751	point		70,72	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	72	72	-594.951	540.392	0.501	point		71,73	live-route-recording-20260712-170700-z102	proven
