time	result	zone	destination	kind	confidence	player_x	player_z	player_y	dest_x	dest_z	dest_y	waypoint_index	waypoint_count	target_x	target_z	wall_clearance	off_route	reason	nearby
2026-06-01 17:18:25	start	105	The Eldieme Necropolis entrance I-7, arrives N-7	area	untested	-66.913	448.703	-1.925	52.695	132.701	0.348	2	12	-51.600	403.600	2.90		menu	Patriarche 3; Hyetsa 13; ??? 23; Resume Point 24; Cavernous Maw 25
2026-06-01 17:20:11	arrived	105	The Eldieme Necropolis entrance I-7, arrives N-7	area	untested	50.459	133.016	-13.219	52.695	132.701	0.348	12	12	52.695	132.701	4.38		arrival	Raptor's Food 19; Ba 24
2026-06-01 17:20:53	start	105	Survival Guide	object	untested	34.592	108.081	-3.882	-67.000	449.000	-2.000	2	9	-24.400	181.600	10.35		menu	
2026-06-01 17:21:03	blocked	105	Survival Guide	object	untested	34.592	108.081	-3.882	-67.000	449.000	-2.000	2	9	28.960	115.101	10.35	9.00	Possible obstacle. Wall clearance 10 yalms. Turn until the beacon moves off-center, then try forward. Route refreshed.	
2026-06-01 17:22:42	arrived	105	Survival Guide	object	untested	-67.186	441.035	0.477	-67.000	449.000	-2.000	8	9	-72.299	449.124	10.29		arrival	Survival Guide 8; Hyetsa 8; Patriarche 9; Resume Point 21; ??? 22
2026-06-01 17:27:11	start	195	Batallia Downs exit to I-10	area	untested	422.420	-106.107	-54.000	420.008	-122.008	-60.092	2	3	420.008	-122.008	0.58		menu	Survival Guide 8; Cannau 9; Grounds Tome 12; Ramblix 13; Goblin Footprint 13
2026-06-01 17:27:21	arrived	195	Batallia Downs exit to I-10	area	untested	422.224	-121.660	-56.000	420.008	-122.008	-60.092	3	3	420.008	-122.008	0.53		arrival	Cannau 7; Survival Guide 23
2026-06-01 17:31:34	start	105	Field Manual near Upper Jeuno	object	untested	134.666	-374.139	11.500	438.355	-141.327	8.932	2	20	174.800	-413.200	1.89		menu	
2026-06-01 17:33:46	arrived	105	Field Manual near Upper Jeuno	object	untested	434.291	-146.971	8.324	438.355	-141.327	8.932	19	20	442.656	-144.424	2.46		arrival	Field Manual 7; Macro Test 9; Atmacite Refiner 11; Voidwatch Officer 12; Moogle 13
2026-06-01 17:34:19	start	105	Survival Guide	object	untested	437.449	-149.008	8.349	-67.000	449.000	-2.000	2	16	429.600	-145.200	6.22		menu	Field Manual 8; Macro Test 10; Moogle 11; Macro Test 13; Atmacite Refiner 15
2026-06-01 17:37:22	arrived	105	Survival Guide	object	untested	-71.945	446.160	-0.568	-67.000	449.000	-2.000	16	16	-64.361	444.404	5.30		arrival	Survival Guide 6
2026-06-01 20:53:09	start	105	Jugner Forest zone line	area	untested	-71.160	447.865	-1.257	-444.042	-240.077	-16.166	2	27	-55.600	413.200	3.91		menu	Survival Guide 4; Blissless 23; Mnkz 23; Azrealvintage 24; Fadeless 24
2026-06-01 20:56:09	arrived	105	Jugner Forest zone line	area	untested	-442.633	-237.706	-8.000	-444.042	-240.077	-16.166	27	27	-444.042	-240.077	9.33		arrival	
2026-06-01 21:26:51	start	245	Upper Jeuno zone line	area	untested	-99.358	-183.033	-0.000	0.177	59.589	-6.280	2	10	-93.710	-154.928	1.30		menu	Lunagoddess 1; Home Point #1 1; Stompmndnutz 2; Iwipebaktofront 2; Coolness 2
2026-06-01 21:28:05	arrived	245	Upper Jeuno zone line	area	untested	0.015	57.768	-3.398	0.177	59.589	-6.280	10	10	0.177	59.589	0.92		arrival	Auchefort 14; Manetoya 17; Home Point #2 18; Wynzorro 19; Drachenfrucht 20
2026-06-01 21:28:18	start	244	Batallia Downs zone line	area	proven	6.894	-52.898	0.994	-99.867	184.157	0.000	2	17	18.441	-43.003	2.07		menu	
2026-06-01 21:29:41	arrived	244	Batallia Downs zone line	area	proven	-105.255	188.811	0.000	-99.867	184.157	0.000	17	17	-99.867	184.157	2.26		arrival	Home Point #1 22; Neosho 23; Bheem 24
2026-06-01 21:30:06	start	105	Survival Guide	object	untested	486.298	-157.702	8.280	-67.000	449.000	-2.000	2	18	461.200	-146.000	5.68		menu	Eyegouger 18
2026-06-01 21:33:06	arrived	105	Survival Guide	object	untested	-64.484	442.298	0.747	-67.000	449.000	-2.000	17	18	-71.962	447.137	9.26		arrival	Survival Guide 7; Treant 16; Resume Point 19; ??? 19; Cavernous Maw 20
2026-06-01 23:17:30	start	105	Survival Guide	object	untested	-63.000	441.034	0.849	-67.000	449.000	-2.000	2	3	-67.000	449.000	9.84		menu	Tenzen 5; Zeid 6; Kupofried 7; Valaineral 8; Cheysala 8
2026-06-01 23:17:35	arrived	105	Survival Guide	object	untested	-65.165	441.678	0.679	-67.000	449.000	-2.000	2	3	-71.142	443.726	10.06		arrival	Tenzen 3; Zeid 4; Kupofried 6; Valaineral 6; Aoora 7
2026-06-04 12:58:01	start	245	Mog House entrance	area	untested	-99.358	-183.033	-0.000	43.944	88.580	-9.359	2	12	-86.910	-163.328	1.30		menu	Lunafreya 1; Aprilu 1; Home Point #1 1; Ldsan 1; Tinyhazel 2
2026-06-04 12:59:31	blocked	245	Mog House entrance	area	untested	5.116	-9.536	-6.000	43.944	88.580	-9.359	2	11	3.289	-2.262	0.00	7.50	Possible obstacle or wall. Clearance 0 yalm. Turn until the beacon moves off-center, then try forward. Route refreshed.	Saprut 7; Therunner 8; Ghebi Damomohe 11; ??? 11; Taliesin 11
2026-06-04 13:00:18	arrived	245	Mog House entrance	area	untested	44.163	86.811	-4.998	43.944	88.580	-9.359	11	11	43.944	88.580	0.10		arrival	Daive 9; Miladi-Nildi 11; Bubbataru 22
2026-06-08 00:07:12	start	232	Bonanza Moogle	npc	generated	-38.000	-64.000	-4.000	14.817	-86.947	-4.000	2	4	-27.645	-69.000	1.55		menu	Home Point #1 1; Todorokijp 3; Bricorsant 7; Nimia 8; Pomilla 10
