# AccessXI FFXI navigation route overrides.
# route_id	zone	destination_name	destination_x	destination_z	destination_y	match_radius	min_x	max_x	min_z	max_z	sequence	waypoint_x	waypoint_z	waypoint_y	source	confidence	note
southern-sandoria-rightwall-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	4.000	32.000	20.000	65.000	1	24.000	28.000	-0.372	live-screenshot-sandy-rightwall-20260628b	observed	pull into open plaza before the northern zone ramp
southern-sandoria-rightwall-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	4.000	32.000	20.000	65.000	2	24.000	24.000	-0.256	live-screenshot-sandy-rightwall-20260628b	observed	step farther out into the plaza before crossing
southern-sandoria-rightwall-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	4.000	32.000	20.000	65.000	3	16.000	24.000	-0.255	live-screenshot-sandy-rightwall-20260628b	observed	short plaza crossing step
southern-sandoria-rightwall-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	4.000	32.000	20.000	65.000	4	8.000	24.000	-0.400	live-screenshot-sandy-rightwall-20260628b	observed	short plaza crossing step
southern-sandoria-rightwall-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	4.000	32.000	20.000	65.000	5	0.000	28.000	-0.469	live-screenshot-sandy-rightwall-20260628b	observed	curve back toward center gate approach
southern-sandoria-rightwall-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	4.000	32.000	20.000	65.000	6	0.000	40.000	-2.218	live-screenshot-sandy-rightwall-20260628b	observed	center gate approach
southern-sandoria-rightwall-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	4.000	32.000	20.000	65.000	7	0.000	48.000	-2.351	live-screenshot-sandy-rightwall-20260628b	observed	final center approach to the zone line
southern-sandoria-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	-30.000	20.000	25.000	65.000	1	-8.124	31.506	-1.000	live-navmesh-wall-route	proven	lower walkway escape from wall-side corner
southern-sandoria-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	-30.000	20.000	25.000	65.000	2	-6.000	32.000	-1.043	live-verified-axi-pos	proven	short clear hop off wall-side corner
southern-sandoria-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	-30.000	20.000	25.000	65.000	3	-5.000	34.000	-1.329	live-verified-axi-pos	proven	short clear hop toward center
southern-sandoria-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	-30.000	20.000	25.000	65.000	4	-4.000	36.000	-1.609	live-verified-axi-pos	proven	short clear center-corridor hop
southern-sandoria-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	-30.000	20.000	25.000	65.000	5	-3.000	39.000	-1.868	live-verified-axi-pos	proven	short clear center-corridor hop
southern-sandoria-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	-30.000	20.000	25.000	65.000	6	-2.000	42.000	-2.332	live-verified-axi-pos	proven	short clear approach hop
southern-sandoria-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	-30.000	20.000	25.000	65.000	7	0.000	48.000	-2.351	live-verified-axi-pos	proven	short straight approach to the zone line
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	1	-339.820	375.467	7.988	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 1
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	2	-340.140	372.566	8.089	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 2
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	3	-340.378	370.527	8.269	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 3
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	4	-340.656	368.170	8.481	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 4
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	5	-341.646	366.925	8.577	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 5
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	6	-343.268	365.369	8.693	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 6
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	7	-344.388	363.783	8.757	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 7
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	8	-345.434	362.006	8.652	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 8
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	9	-347.016	359.132	8.494	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 9
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	10	-347.977	357.592	8.398	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 10
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	11	-349.866	355.124	8.369	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 11
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	12	-351.281	353.382	8.429	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 12
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	13	-352.594	351.783	8.463	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 13
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	14	-354.184	349.851	8.438	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 14
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	15	-354.996	348.865	8.429	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 15
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	16	-356.822	346.647	8.531	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 16
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	17	-358.129	345.063	8.689	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 17
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	18	-360.088	342.687	8.865	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 18
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	19	-361.400	341.094	8.944	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 19
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	20	-363.363	338.711	8.935	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 20
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	21	-364.914	336.829	8.769	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 21
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	22	-366.884	334.437	8.581	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 22
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	23	-368.192	332.849	8.483	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 23
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	24	-370.158	330.471	8.500	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 24
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	25	-371.522	328.935	8.500	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 25
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	26	-373.690	326.743	8.592	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 26
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	27	-375.258	325.235	8.705	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 27
lathine-recorded-ravine-escape-20260712	102	Recorded ravine escape handoff	-563.557	663.512	0.823	2.0	-344.820	-334.820	370.467	380.467	28	-376.908	323.749	8.844	live-route-recording-20260712-143554-z102	proven	complete walked ravine escape sequence 28
