# AccessXI typed transport transitions. One row per boarding: the anchor is where the player stands to board (game frame x, z, y; y down), the landing is where they stand on arrival. The search treats a row as a directed edge from_zone -> to_zone; the player zones into via_zone first (a ship or airship hold) and the leg completes on arrival in to_zone. availability: always | key_item:<exact key item name>. availability may also be unlock:<condition> for a gate the runtime cannot yet prove; such edges are never offered to the search and count only as availability-unknown in the census. Sources: LandSandBoat sql/transport.sql (dock positions, transit zones, 2026-08-21), the AccessXI destination catalogue (Cavernous Maw and Telepoint objects), bg-wiki/ffxiclopedia for availability.
transport_id	type	from_zone	from_name	anchor_x	anchor_z	anchor_y	anchor_name	to_zone	to_name	land_x	land_z	land_y	via_zone	availability	instruction	source	confidence
900000001	airship	250	Kazham	-4.000	32.125	-3.497	Kazham airship dock	246	Port Jeuno	-4.000	117.000	10.450	226	key_item:airship pass for Kazham	Wait at the Kazham airship dock and board the airship to Jeuno when it docks. The route continues in Port Jeuno.	lsb-transport:1	untested
900000002	airship	246	Port Jeuno	-4.000	117.000	10.450	Port Jeuno airship dock to Kazham	250	Kazham	-4.000	32.125	-3.497	226	key_item:airship pass for Kazham	Wait at the Kazham airship dock in Port Jeuno and board the airship when it docks. The route continues in Kazham.	lsb-transport:2	untested
900000003	airship	246	Port Jeuno	-68.000	117.000	10.450	Port Jeuno airship dock to San d'Oria	232	Port San d'Oria	20.000	44.000	-2.000	223	key_item:airship pass	Wait at the San d'Oria airship dock in Port Jeuno and board the airship when it docks. The route continues in Port San d'Oria.	lsb-transport:3	untested
900000004	airship	246	Port Jeuno	-6.000	-117.000	10.450	Port Jeuno airship dock to Windurst	240	Port Windurst	242.281	61.994	-3.522	225	key_item:airship pass	Wait at the Windurst airship dock in Port Jeuno and board the airship when it docks. The route continues in Port Windurst.	lsb-transport:4	untested
900000005	airship	246	Port Jeuno	-70.000	-117.000	10.450	Port Jeuno airship dock to Bastok	236	Port Bastok	-36.458	-77.322	6.365	224	key_item:airship pass	Wait at the Bastok airship dock in Port Jeuno and board the airship when it docks. The route continues in Port Bastok.	lsb-transport:5	untested
900000006	airship	232	Port San d'Oria	20.000	44.000	-2.000	Port San d'Oria airship dock	246	Port Jeuno	-68.000	117.000	10.450	223	key_item:airship pass	Wait at the airship dock and board the airship to Jeuno when it docks. The route continues in Port Jeuno.	lsb-transport:6	untested
900000007	airship	240	Port Windurst	242.281	61.994	-3.522	Port Windurst airship dock	246	Port Jeuno	-6.000	-117.000	10.450	225	key_item:airship pass	Wait at the airship dock and board the airship to Jeuno when it docks. The route continues in Port Jeuno.	lsb-transport:7	untested
900000008	airship	236	Port Bastok	-36.458	-77.322	6.365	Port Bastok airship dock	246	Port Jeuno	-70.000	-117.000	10.450	224	key_item:airship pass	Wait at the airship dock and board the airship to Jeuno when it docks. The route continues in Port Jeuno.	lsb-transport:8	untested
900000009	ferry	248	Selbina	9.294	-69.775	0.000	Selbina ferry dock	249	Mhaura	-0.516	-8.409	0.026	220	always	Wait on the Selbina dock and walk aboard the ferry to Mhaura when it arrives. The route continues in Mhaura.	lsb-transport:9	untested
900000010	ferry	249	Mhaura	-0.516	-8.409	0.026	Mhaura ferry dock	248	Selbina	9.294	-69.775	0.000	221	always	Wait on the Mhaura dock and walk aboard the ferry to Selbina when it arrives. The route continues in Selbina.	lsb-transport:10	untested
