format_version	file	selector_angle_degrees	sofa_measurement	sofa_azimuth_degrees	sofa_elevation_degrees	output_sha256
accessxi-nav-beacon-hrtf-v1	front_00.wav	88.465500	2167	88.000000	0.000000	1c9ceb56f0c2382039bc6ea5e7eedd273e65c9e6fa479e9d09425d68cb83c6fe
accessxi-nav-beacon-hrtf-v1	front_01.wav	57.517000	1403	57.800000	0.000000	93a34513fb02870c00115d6dc42c356b4132886a70dc8a00259338e37074f7d3
accessxi-nav-beacon-hrtf-v1	front_02.wav	42.137500	1057	42.000000	0.000000	5b9d4dcfc944521738e878ef1683937be9bfb283dc8d4c9cfe92b289ede8ac75
accessxi-nav-beacon-hrtf-v1	front_03.wav	30.154500	760	30.000000	0.000000	05745bc68c7614d6e4e0a4a5fe19e659946743c7cbb880f74623234d1ff05801
accessxi-nav-beacon-hrtf-v1	front_04.wav	19.551000	502	20.000000	0.000000	2d54e3378f4377faa86cd05713f41efbc2936a709e94314487526d9c7d7559e2
accessxi-nav-beacon-hrtf-v1	front_05.wav	9.629000	233	10.000000	0.000000	d001900a8675c2c98b57207131b161d15aa8cea87579e81b9055d3475e34b6a3
accessxi-nav-beacon-hrtf-v1	front_06.wav	0.000000	12	0.000000	0.000000	d2272513adf36d941fcebd88b716899c0d884075b79b7f2b58dfcaf344deb13f
accessxi-nav-beacon-hrtf-v1	front_07.wav	-9.629000	8593	350.000000	0.000000	de44097206ba344d542baabb2e832d527e4dd926431a1d8860bf040d50c3f29c
accessxi-nav-beacon-hrtf-v1	front_08.wav	-19.551000	8323	340.000000	0.000000	45a373123c2f2c83cfa887607b315da09ce53ae7cbbdc621762c3bf6ab2ca0ba
accessxi-nav-beacon-hrtf-v1	front_09.wav	-30.154500	8064	330.000000	0.000000	3e458a5ecc76bee710e511fa7dc86309c25812a9beb37871b35f5103abc9f6d5
accessxi-nav-beacon-hrtf-v1	front_10.wav	-42.137500	7767	318.000000	0.000000	9ea99738dfc6b3e1b7097ad05498b011a83e28056a19293dd1c0186289286b84
accessxi-nav-beacon-hrtf-v1	front_11.wav	-57.517000	7420	302.300000	0.000000	a31984008be7fa5d3419694011ccb528e8a04e030d7c4788e633366cb309232e
accessxi-nav-beacon-hrtf-v1	front_12.wav	-88.465500	6655	272.000000	0.000000	b37414003e5b553ce9af19be832cbcb3ebaeabd373bf5faa7f3b75f4b3928d36
accessxi-nav-beacon-hrtf-v1	rear_00.wav	112.021500	2745	112.000000	0.000000	c8b65c63877acd9b2398c08ba8909747c92eb6e526885a437d5df62aad210e2e
accessxi-nav-beacon-hrtf-v1	rear_01.wav	122.483000	3020	122.500000	0.000000	b6af2830d2ef25d5d7d0a8b2a062fcf229db31bb1a63285bffcda8886abb1ff2
accessxi-nav-beacon-hrtf-v1	rear_02.wav	137.862500	3367	138.000000	0.000000	87852dc9a5e62d85a108bc8a9e2e6753d7e9a9bf894017a971827775ca20b93e
accessxi-nav-beacon-hrtf-v1	rear_03.wav	149.845500	3664	150.000000	0.000000	520a34f63114c67afb4a57f628c7e07ff9ca0ef8d2da09e9b9da43cbf09b7b28
accessxi-nav-beacon-hrtf-v1	rear_04.wav	160.449000	3923	160.000000	0.000000	24b19e3e76e579527b426108299ac6d36c4c6a140e893274ff41e89165d496c4
accessxi-nav-beacon-hrtf-v1	rear_05.wav	170.371000	4193	170.000000	0.000000	cd9297ece6810edf13c87cb1df4b58979b61510f42d3590a7e76f2f5b285f7d8
accessxi-nav-beacon-hrtf-v1	rear_06.wav	180.000000	4413	180.000000	0.000000	aa75afdffe8133e138448310f3dff510a045234e7578c93d6d301113e3601cc8
accessxi-nav-beacon-hrtf-v1	rear_07.wav	-170.371000	4633	190.000000	0.000000	8e935954584671fd97516b172b6223906282eb22dc087a42d0afbf46436312bf
accessxi-nav-beacon-hrtf-v1	rear_08.wav	-160.449000	4902	200.000000	0.000000	d133e149866d5ac6403634abc17830c0b398efa4535dd8e10456237530a27cad
accessxi-nav-beacon-hrtf-v1	rear_09.wav	-149.845500	5160	210.000000	0.000000	04a4736441f875e03069ef9d3e28e16ce76f7b085d4f3f1d06cca2f00f2c6c7c
accessxi-nav-beacon-hrtf-v1	rear_10.wav	-137.862500	5457	222.000000	0.000000	daf7ed6b315a31b557446565d181d35bbfe77dbf1a2b01e81104967dd3701a80
accessxi-nav-beacon-hrtf-v1	rear_11.wav	-122.483000	5803	237.800000	0.000000	2c60087d0d1e96ec1f568cbeb5370c70e8eaae893dbdcb93b237f80cef339a3b
accessxi-nav-beacon-hrtf-v1	rear_12.wav	-112.021500	6078	248.000000	0.000000	b9a25156b854fad5c05147e5d25a80138f0fd279c19c23e145de6b9318aeb946
