# AccessXI FFXI navigation route overrides.
# route_id	zone	destination_name	destination_x	destination_z	destination_y	match_radius	min_x	max_x	min_z	max_z	sequence	waypoint_x	waypoint_z	waypoint_y	source	confidence	note
southern-sandoria-rightwall-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	4.000	32.000	20.000	65.000	1	24.000	28.000	-0.372	live-screenshot-sandy-rightwall-20260628b	observed	pull into open plaza before the northern zone ramp
southern-sandoria-rightwall-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	4.000	32.000	20.000	65.000	2	24.000	24.000	-0.256	live-screenshot-sandy-rightwall-20260628b	observed	step farther out into the plaza before crossing
southern-sandoria-rightwall-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	4.000	32.000	20.000	65.000	3	16.000	24.000	-0.255	live-screenshot-sandy-rightwall-20260628b	observed	short plaza crossing step
southern-sandoria-rightwall-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	4.000	32.000	20.000	65.000	4	8.000	24.000	-0.400	live-screenshot-sandy-rightwall-20260628b	observed	short plaza crossing step
southern-sandoria-rightwall-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	4.000	32.000	20.000	65.000	5	0.000	28.000	-0.469	live-screenshot-sandy-rightwall-20260628b	observed	curve back toward center gate approach
southern-sandoria-rightwall-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	4.000	32.000	20.000	65.000	6	0.000	40.000	-2.218	live-screenshot-sandy-rightwall-20260628b	observed	center gate approach
southern-sandoria-rightwall-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	4.000	32.000	20.000	65.000	7	0.000	48.000	-2.351	live-screenshot-sandy-rightwall-20260628b	observed	final center approach to the zone line
southern-sandoria-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	-30.000	20.000	25.000	65.000	1	-8.124	31.506	-1.000	live-navmesh-wall-route	proven	lower walkway escape from wall-side corner
southern-sandoria-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	-30.000	20.000	25.000	65.000	2	-6.000	32.000	-1.043	live-verified-axi-pos	proven	short clear hop off wall-side corner
southern-sandoria-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	-30.000	20.000	25.000	65.000	3	-5.000	34.000	-1.329	live-verified-axi-pos	proven	short clear hop toward center
southern-sandoria-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	-30.000	20.000	25.000	65.000	4	-4.000	36.000	-1.609	live-verified-axi-pos	proven	short clear center-corridor hop
southern-sandoria-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	-30.000	20.000	25.000	65.000	5	-3.000	39.000	-1.868	live-verified-axi-pos	proven	short clear center-corridor hop
southern-sandoria-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	-30.000	20.000	25.000	65.000	6	-2.000	42.000	-2.332	live-verified-axi-pos	proven	short clear approach hop
southern-sandoria-to-northern-zoneline	230	Northern San d'Oria zone line	0.620	54.388	-2.049	3.0	-30.000	20.000	25.000	65.000	7	0.000	48.000	-2.351	live-verified-axi-pos	proven	short straight approach to the zone line
lathine-shelf-to-west-ronfaure-zoneline	102	West Ronfaure zone line	-558.569	688.049	-7.049	4.0	-705.000	-550.000	320.000	520.000	1	-570.000	420.000	12.000	live-screenshot-lathine-cliff-20260628	observed	pull east into open shelf away from cliff face
lathine-shelf-to-west-ronfaure-zoneline	102	West Ronfaure zone line	-558.569	688.049	-7.049	4.0	-705.000	-550.000	320.000	520.000	2	-560.000	460.000	8.000	live-screenshot-lathine-cliff-20260628	observed	continue open shelf corridor
lathine-shelf-to-west-ronfaure-zoneline	102	West Ronfaure zone line	-558.569	688.049	-7.049	4.0	-705.000	-550.000	320.000	520.000	3	-560.000	500.000	2.000	live-screenshot-lathine-cliff-20260628	observed	drop to lower open route before turning
lathine-shelf-to-west-ronfaure-zoneline	102	West Ronfaure zone line	-558.569	688.049	-7.049	4.0	-705.000	-550.000	320.000	520.000	4	-584.400	545.600	-4.450	live-screenshot-lathine-cliff-20260628	observed	lower west route turn
lathine-shelf-to-west-ronfaure-zoneline	102	West Ronfaure zone line	-558.569	688.049	-7.049	4.0	-705.000	-550.000	320.000	520.000	5	-588.800	556.000	-3.650	live-screenshot-lathine-cliff-20260628	observed	lower west route stabilizer
lathine-shelf-to-west-ronfaure-zoneline	102	West Ronfaure zone line	-558.569	688.049	-7.049	4.0	-705.000	-550.000	320.000	520.000	6	-596.400	580.000	0.950	live-screenshot-lathine-cliff-20260628	observed	west route approach
lathine-shelf-to-west-ronfaure-zoneline	102	West Ronfaure zone line	-558.569	688.049	-7.049	4.0	-705.000	-550.000	320.000	520.000	7	-596.000	582.400	0.350	live-screenshot-lathine-cliff-20260628	observed	short west approach step
lathine-shelf-to-west-ronfaure-zoneline	102	West Ronfaure zone line	-558.569	688.049	-7.049	4.0	-705.000	-550.000	320.000	520.000	8	-592.400	595.200	-1.650	live-screenshot-lathine-cliff-20260628	observed	final west approach corridor
lathine-shelf-to-planar-rift	102	Planar Rift	-440.000	440.000	-8.000	4.0	-705.000	-550.000	320.000	520.000	1	-570.000	420.000	12.000	live-screenshot-lathine-cliff-20260628	observed	pull east into open shelf away from cliff face
lathine-shelf-to-planar-rift	102	Planar Rift	-440.000	440.000	-8.000	4.0	-705.000	-550.000	320.000	520.000	2	-560.000	460.000	8.000	live-screenshot-lathine-cliff-20260628	observed	continue open shelf corridor
lathine-shelf-to-planar-rift	102	Planar Rift	-440.000	440.000	-8.000	4.0	-705.000	-550.000	320.000	520.000	3	-560.000	500.000	2.000	live-screenshot-lathine-cliff-20260628	observed	drop to lower open route before turning
lathine-shelf-to-planar-rift	102	Planar Rift	-440.000	440.000	-8.000	4.0	-705.000	-550.000	320.000	520.000	4	-540.800	500.000	-4.650	live-screenshot-lathine-cliff-20260628	observed	lower cross-valley stabilizer
lathine-shelf-to-planar-rift	102	Planar Rift	-440.000	440.000	-8.000	4.0	-705.000	-550.000	320.000	520.000	5	-506.800	474.000	-2.250	live-screenshot-lathine-cliff-20260628	observed	Planar Rift cross-valley point
lathine-shelf-to-planar-rift	102	Planar Rift	-440.000	440.000	-8.000	4.0	-705.000	-550.000	320.000	520.000	6	-505.200	473.200	-2.650	live-screenshot-lathine-cliff-20260628	observed	short Planar Rift approach step
lathine-shelf-to-planar-rift	102	Planar Rift	-440.000	440.000	-8.000	4.0	-705.000	-550.000	320.000	520.000	7	-470.000	444.400	-7.850	live-screenshot-lathine-cliff-20260628	observed	Planar Rift approach
lathine-shelf-to-survival-guide	102	Survival Guide	775.000	-18.000	28.500	4.0	-705.000	-550.000	320.000	520.000	1	-570.000	420.000	12.000	live-screenshot-lathine-cliff-20260628	observed	pull east into open shelf away from cliff face
lathine-shelf-to-survival-guide	102	Survival Guide	775.000	-18.000	28.500	4.0	-705.000	-550.000	320.000	520.000	2	-560.000	460.000	8.000	live-screenshot-lathine-cliff-20260628	observed	continue open shelf corridor
lathine-shelf-to-survival-guide	102	Survival Guide	775.000	-18.000	28.500	4.0	-705.000	-550.000	320.000	520.000	3	-560.000	500.000	2.000	live-screenshot-lathine-cliff-20260628	observed	drop to lower open route before turning
lathine-shelf-to-survival-guide	102	Survival Guide	775.000	-18.000	28.500	4.0	-705.000	-550.000	320.000	520.000	4	-540.800	500.000	-4.650	live-screenshot-lathine-cliff-20260628	observed	lower cross-valley stabilizer
lathine-shelf-to-survival-guide	102	Survival Guide	775.000	-18.000	28.500	4.0	-705.000	-550.000	320.000	520.000	5	-535.600	496.400	-4.650	live-screenshot-lathine-cliff-20260628	observed	short lower route step
lathine-shelf-to-survival-guide	102	Survival Guide	775.000	-18.000	28.500	4.0	-705.000	-550.000	320.000	520.000	6	-493.200	474.800	-6.250	live-screenshot-lathine-cliff-20260628	observed	lower route cross-valley point
lathine-shelf-to-survival-guide	102	Survival Guide	775.000	-18.000	28.500	4.0	-705.000	-550.000	320.000	520.000	7	-478.800	454.000	-7.450	live-screenshot-lathine-cliff-20260628	observed	lower route cross-valley point
lathine-shelf-to-survival-guide	102	Survival Guide	775.000	-18.000	28.500	4.0	-705.000	-550.000	320.000	520.000	8	-390.000	350.000	-3.850	live-screenshot-lathine-cliff-20260628	observed	central route point
lathine-shelf-to-survival-guide	102	Survival Guide	775.000	-18.000	28.500	4.0	-705.000	-550.000	320.000	520.000	9	-389.600	349.200	-3.050	live-screenshot-lathine-cliff-20260628	observed	short central route step
lathine-shelf-to-survival-guide	102	Survival Guide	775.000	-18.000	28.500	4.0	-705.000	-550.000	320.000	520.000	10	-390.800	345.200	-2.250	live-screenshot-lathine-cliff-20260628	observed	short central route step
lathine-shelf-to-survival-guide	102	Survival Guide	775.000	-18.000	28.500	4.0	-705.000	-550.000	320.000	520.000	11	-390.400	344.400	-1.650	live-screenshot-lathine-cliff-20260628	observed	short central route step
lathine-shelf-to-survival-guide	102	Survival Guide	775.000	-18.000	28.500	4.0	-705.000	-550.000	320.000	520.000	12	-388.000	342.400	-0.250	live-screenshot-lathine-cliff-20260628	observed	short central route step
lathine-shelf-to-survival-guide	102	Survival Guide	775.000	-18.000	28.500	4.0	-705.000	-550.000	320.000	520.000	13	-383.200	337.600	2.750	live-screenshot-lathine-cliff-20260628	observed	central route turn
lathine-shelf-to-survival-guide	102	Survival Guide	775.000	-18.000	28.500	4.0	-705.000	-550.000	320.000	520.000	14	-385.534	332.032	3.570	live-screenshot-lathine-cliff-20260628	observed	short central route step
lathine-shelf-to-survival-guide	102	Survival Guide	775.000	-18.000	28.500	4.0	-705.000	-550.000	320.000	520.000	15	-385.095	329.090	7.612	live-screenshot-lathine-cliff-20260628	observed	short central route step
