zoneline_id	from_zone	from_name	from_code	from_x	from_z	from_y	to_zone	to_name	to_code	to_x	to_z	to_y	source	confidence	note
808595578	2	Carpenters' Landing	z020	0.786	-819.851	-10.312	104	Jugner Forest	z2w9	341.844	15.117	-5.005	lsb-zonelines	untested	
842150010	2	Carpenters' Landing	z022	-420.264	-560.076	-10.153	104	Jugner Forest	z2wb	-536.152	336.587	1.163	lsb-zonelines	untested	
875704442	2	Carpenters' Landing	z024	-479.706	672.851	-14.351	231	Northern San d'Oria	z6fb	-127.472	195.478	10.500	lsb-zonelines	untested	
808726650	4	Bibiki Bay	z040	673.803	911.899	-24.869	118	Buburimu Peninsula	z3a9	-276.529	-324.519	16.403	lsb-zonelines	untested	
842346618	5	Uleguerand Range	z052	360.102	-59.900	15.074	6	Bearclaw Pinnacle	z061	-679.796	-539.992	16.000	lsb-zonelines	untested	
875901050	5	Uleguerand Range	z054	420.134	196.059	-40.825	6	Bearclaw Pinnacle	z063	-819.917	-82.521	-39.987	lsb-zonelines	untested	
909455482	5	Uleguerand Range	z056	59.998	438.236	-104.974	6	Bearclaw Pinnacle	z065	-795.490	619.960	-104.137	lsb-zonelines	untested	
943009914	5	Uleguerand Range	z058	81.956	179.876	-196.429	6	Bearclaw Pinnacle	z067	119.997	660.017	-195.490	lsb-zonelines	untested	
1630875770	5	Uleguerand Range	z05a	-200.076	-60.120	-8.687	6	Bearclaw Pinnacle	z069	-519.513	-899.992	0.541	lsb-zonelines	untested	
1664430202	5	Uleguerand Range	z05c	180.004	121.050	-228.953	6	Bearclaw Pinnacle	z06b	-199.494	-100.018	-112.470	lsb-zonelines	untested	
808792186	5	Uleguerand Range	z050	-299.951	-605.658	-45.216	112	Xarcabard	z345	-136.287	137.302	-23.268	lsb-zonelines	untested	
808857722	6	Bearclaw Pinnacle	z060	-677.021	-540.013	15.975	5	Uleguerand Range	z053	363.025	-59.903	16.017	lsb-zonelines	untested	
842412154	6	Bearclaw Pinnacle	z062	-820.016	-79.066	-41.017	5	Uleguerand Range	z055	420.024	198.498	-40.006	lsb-zonelines	untested	
875966586	6	Bearclaw Pinnacle	z064	-798.984	620.020	-105.026	5	Uleguerand Range	z057	60.015	440.661	-103.627	lsb-zonelines	untested	
909521018	6	Bearclaw Pinnacle	z066	116.984	660.044	-197.114	5	Uleguerand Range	z059	79.508	179.999	-196.004	lsb-zonelines	untested	
