zone_id	zone_name	destination_id	target_name	target_x	target_z	target_y	edge_id	from_zone	from_name	entry_x	entry_z	entry_y	steps	status	waypoints	start_snap	end_snap	start_valid	end_valid
194	Outer Horutoto Ruins	npc:v1:194:17572253	Ancient Magical Gizmo	457.995	-701.998	-3.293	1631007610	115	West Sarutabaruta	-316.779	860.009	-9.680	mission:Windurst:2	mesh-no-path	1	1743.612	0.000	1	1
194	Outer Horutoto Ruins	npc:v1:194:17572253	Ancient Magical Gizmo	457.995	-701.998	-3.293	1664562042	115	West Sarutabaruta	-579.995	-636.951	-9.667	mission:Windurst:2	mesh-no-path	1	1040.046	0.000	1	1
194	Outer Horutoto Ruins	npc:v1:194:17572253	Ancient Magical Gizmo	457.995	-701.998	-3.293	943207290	116	East Sarutabaruta	419.991	716.991	-9.637	mission:Windurst:2	mesh-no-path	1	1419.512	0.000	1	1
194	Outer Horutoto Ruins	npc:v1:194:17572253	Ancient Magical Gizmo	457.995	-701.998	-3.293	1664627578	116	East Sarutabaruta	580.018	-637.011	-25.626	mission:Windurst:2	mesh-connected	14	1.365	0.000	1	1
194	Outer Horutoto Ruins	npc:v1:194:17572252	Ancient Magical Gizmo	458.005	-618.008	-3.271	1631007610	115	West Sarutabaruta	-316.779	860.009	-9.680	mission:Windurst:2	mesh-no-path	1	1668.792	0.000	1	1
194	Outer Horutoto Ruins	npc:v1:194:17572252	Ancient Magical Gizmo	458.005	-618.008	-3.271	1664562042	115	West Sarutabaruta	-579.995	-636.951	-9.667	mission:Windurst:2	mesh-no-path	1	1038.193	0.000	1	1
194	Outer Horutoto Ruins	npc:v1:194:17572252	Ancient Magical Gizmo	458.005	-618.008	-3.271	943207290	116	East Sarutabaruta	419.991	716.991	-9.637	mission:Windurst:2	mesh-no-path	1	1335.555	0.000	1	1
194	Outer Horutoto Ruins	npc:v1:194:17572252	Ancient Magical Gizmo	458.005	-618.008	-3.271	1664627578	116	East Sarutabaruta	580.018	-637.011	-25.626	mission:Windurst:2	mesh-connected	12	1.365	0.000	1	1
194	Outer Horutoto Ruins	npc:v1:194:17572254	Ancient Magical Gizmo	499.996	-747.005	-3.314	1631007610	115	West Sarutabaruta	-316.779	860.009	-9.680	mission:Windurst:2	mesh-no-path	1	1802.680	0.000	1	1
194	Outer Horutoto Ruins	npc:v1:194:17572254	Ancient Magical Gizmo	499.996	-747.005	-3.314	1664562042	115	West Sarutabaruta	-579.995	-636.951	-9.667	mission:Windurst:2	mesh-no-path	1	1085.602	0.000	1	1
194	Outer Horutoto Ruins	npc:v1:194:17572254	Ancient Magical Gizmo	499.996	-747.005	-3.314	943207290	116	East Sarutabaruta	419.991	716.991	-9.637	mission:Windurst:2	mesh-no-path	1	1466.194	0.000	1	1
194	Outer Horutoto Ruins	npc:v1:194:17572254	Ancient Magical Gizmo	499.996	-747.005	-3.314	1664627578	116	East Sarutabaruta	580.018	-637.011	-25.626	mission:Windurst:2	mesh-connected	16	1.365	0.000	1	1
194	Outer Horutoto Ruins	npc:v1:194:17572251	Ancient Magical Gizmo	500.005	-572.998	-3.254	1631007610	115	West Sarutabaruta	-316.779	860.009	-9.680	mission:Windurst:2	mesh-no-path	1	1649.450	0.000	1	1
194	Outer Horutoto Ruins	npc:v1:194:17572251	Ancient Magical Gizmo	500.005	-572.998	-3.254	1664562042	115	West Sarutabaruta	-579.995	-636.951	-9.667	mission:Windurst:2	mesh-no-path	1	1081.911	0.000	1	1
194	Outer Horutoto Ruins	npc:v1:194:17572251	Ancient Magical Gizmo	500.005	-572.998	-3.254	943207290	116	East Sarutabaruta	419.991	716.991	-9.637	mission:Windurst:2	mesh-no-path	1	1292.484	0.000	1	1
194	Outer Horutoto Ruins	npc:v1:194:17572251	Ancient Magical Gizmo	500.005	-572.998	-3.254	1664627578	116	East Sarutabaruta	580.018	-637.011	-25.626	mission:Windurst:2	mesh-connected	16	1.365	0.000	1	1
194	Outer Horutoto Ruins	npc:v1:194:17572250	Ancient Magical Gizmo	541.980	-617.991	-3.265	1631007610	115	West Sarutabaruta	-316.779	860.009	-9.680	mission:Windurst:2	mesh-no-path	1	1709.384	0.000	1	1
